env;exploration_strategy;smart_start;num_iter;num_episodes;max_steps;mean;std;steps
Medium;count-based;True;10;1000;50000;2185.6;329.73662217;[2490, 2347, 1799, 2587, 2062, 2607, 2463, 1829, 1927, 1745]
Medium;count-based;False;10;1000;100000;2144.6;248.688238564;[2179, 2368, 1637, 2290, 2221, 1831, 1954, 2311, 2491, 2164]
Medium;count-based;True;10;1000;2500;2467.8;353.978473922;[2581, 2888, 2276, 1811, 2576, 2823, 2632, 2282, 2845, 1964]
Medium;random;True;10;1000;5000;6357.4;3711.01091887;[7343, 15986, 5384, 3282, 5631, 7830, 981, 5154, 5597, 6386]
Easy;random;False;10;1000;100;nan;nan;[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]
Medium;count-based;False;10;1000;2500;2212.5;594.35448177;[3309, 2087, 1896, 1805, 1767, 1683, 2321, 1990, 1874, 3393]
Medium;count-based;True;10;1000;5000;2275.7;373.609435106;[2996, 2419, 1778, 2786, 2091, 2417, 2108, 1958, 2331, 1873]
Medium;random;False;10;1000;100;nan;nan;[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]
Easy;count-based;True;10;1000;100;616.7;198.246336662;[892, 480, 749, 565, 275, 562, 780, 651, 862, 351]
Easy;count-based;False;10;1000;100;1673.4;153.633459897;[1585, 1693, 1688, 1760, 1800, 1280, 1795, 1797, 1570, 1766]
Medium;random;False;10;1000;5000;26195.6;20472.9609788;[4497, 24212, 69727, 52737, 33991, 9238, 32240, 13393, 18180, 3741]
Medium;count-based;True;10;1000;1000;2197.6;276.451153009;[2101, 2259, 2396, 2708, 1900, 2287, 2397, 1932, 2285, 1711]
Medium;count-based;False;10;1000;1000;2510.8;347.27591336;[1985, 2722, 2910, 2403, 2920, 1803, 2552, 2709, 2576, 2528]
Medium;random;True;10;1000;10000;8022.8;4162.05383915;[10176, 10243, 10077, 18183, 2782, 6132, 6642, 4646, 6315, 5032]
Easy;count-based;True;10;1000;250;759.6;124.940946051;[794, 656, 825, 809, 612, 632, 847, 886, 962, 573]
Hard;random;False;10;1000;50000;30033.9;23858.4865381;[23849, 23305, 30021, 9431, 97572, 39423, 17877, 25900, 15375, 17586]
Easy;random;True;10;1000;250;1414.1;713.996701673;[3073, 1318, 927, 1820, 381, 1926, 652, 1312, 1435, 1297]
Easy;count-based;True;10;1000;50;791.4;260.491535371;[707, 1274, 754, 659, 864, 450, 968, 1068, 814, 356]
Easy;count-based;False;10;1000;50;3325.2;227.801580328;[2838, 3549, 3191, 3294, 3200, 3443, 3143, 3500, 3649, 3445]
Hard;random;True;10;1000;100000;33538.5;22301.3608206;[42943, 33472, 14162, 94642, 38264, 15194, 20774, 24649, 30666, 20619]
Hard;random;False;10;1000;100000;35744.7;22170.7627792;[6516, 18642, 82330, 16647, 19467, 29548, 64640, 34661, 41272, 43724]
Hard;random;True;10;1000;25000;29382.7;12800.7710084;[50529, 22526, 34143, 50613, 22696, 28829, 33702, 13366, 10867, 26556]
Easy;random;False;10;1000;250;103072.3;76260.7266003;[163250, 142742, 80436, 73975, 235741, 4481, 28676, 211217, 57959, 32246]
Hard;count-based;False;10;1000;500;16095.4;2034.58689665;[18429, 14475, 16455, 15887, 14997, 20459, 16849, 15959, 14447, 12997]
Medium;random;True;10;1000;500;3833.7;1558.53508462;[2898, 2681, 3992, 6288, 3701, 2728, 2228, 3385, 3195, 7241]
Hard;random;False;10;1000;25000;51093.7;32836.7816604;[39185, 17441, 89596, 32728, 35694, 42030, 97801, 42698, 6632, 107132]
Medium;count-based;True;10;1000;250;2124.2;317.403150583;[1605, 2238, 2119, 2593, 1623, 1850, 2167, 2467, 2243, 2337]
Hard;random;True;10;1000;50000;43691.7;28256.1720056;[17809, 100167, 20328, 18930, 33272, 19969, 31869, 55456, 87971, 51146]
Medium;count-based;False;10;1000;250;5689.6;714.61055128;[5205, 5452, 6484, 4488, 6244, 5215, 5190, 6969, 5447, 6202]
Hard;count-based;False;10;1000;5000;4189.6;912.087298453;[4078, 3635, 3871, 4247, 6664, 4090, 3602, 3501, 3423, 4785]
Hard;count-based;True;10;1000;10000;4967.1;1329.42141174;[8031, 3764, 5432, 5695, 4367, 3586, 4018, 6315, 4119, 4344]
Hard;count-based;True;10;1000;2500;4654.7;1050.27625414;[6034, 3799, 3773, 6374, 3163, 5498, 5295, 4285, 4753, 3573]
Hard;count-based;False;10;1000;10000;4703.0;877.505555538;[4795, 4112, 6459, 5781, 4630, 4688, 4648, 3579, 4961, 3377]
Hard;count-based;True;10;1000;25000;4617.3;909.272681873;[3277, 4536, 4731, 4270, 3582, 5177, 4475, 4815, 6824, 4486]
Hard;count-based;False;10;1000;2500;5757.5;1299.75745814;[6261, 4563, 7341, 6402, 4901, 4684, 5953, 8436, 4756, 4278]
Hard;count-based;False;10;1000;25000;4776.7;901.027086163;[6113, 4722, 4725, 5796, 4134, 3589, 6265, 4273, 4149, 4001]
Hard;count-based;True;10;1000;50000;4896.9;1083.65063097;[3541, 3857, 4193, 5199, 4665, 5115, 6884, 3741, 6554, 5220]
